Ln,Part,Description,Due Date,Qty, Unit Price ,Order Date,Total_Value,PO_Number
1,M158435,M158435 [NOZZLE END CAP 25MM 1A EC SX 7/8-14 M48 122MM OAL],2025-05-16,1,750,2025-04-03,750,151769
1,N066879,N066879 [POPPET C2G16],2017-06-07,1,1795,2017-06-07,3420,24484
2,N054085,N054085 [PISTON HEAD],2017-06-07,1,1150,2017-06-07,3420,24484
3,Y074129,Y074129 [FLANGE FOR C2G16],2017-06-07,1,475,2017-06-07,3420,24484
1,650T5001,650T5001 [SPRING KEEPER FOR DHS-T] ,2018-03-08,5,125,2018-01-24,625,36916
1,H323583,H323583 [INJECTION BUSHING],2021-02-17,1,1575,2021-01-13,1575,87475
1,Y132076,Y132076 [ELECTRODE PROBE CHROME],2021-11-15,6,65,2021-10-11,390,98555
1,685R1002,685R1002 [ELECTRODE],2018-09-24,12,57,2018-08-14,1412,47889
2,685R1001,685R1001 [ELECTRODE ROD ],2018-09-24,14,52,2018-08-14,1412,47889
1,9X924601,9X924601 [BUSHING],2022-04-08,2,545,2022-03-04,1090,103761
1,624T0004,624T0004 [SPACER],2022-11-04,1,185,2022-09-28,185,111417
1,Y057218,Y057218 [SHAFT],2018-12-25,1,425,2018-11-20,425,53156
1,S661823,S661823 [SET SCREW ],2023-02-21,4,27.5,2023-01-24,1990,115671
2,TMT0009,TMT0009 [LINK PIN 2 EC610SX],2023-02-21,1,425,2023-01-24,1990,115671
3,TMT0008,TMT0008 [LINK PIN 1 EC610SX ],2023-02-28,1,1455,2023-01-24,1990,115671
1,N069222,N069222 [EJECTOR ROD],2024-04-16,2,2375,2024-03-11,4750,134330
1,647W6501,647W6501 [SLIDE PLATE (DC500CL-HT)],2023-01-25,8,355,2022-12-21,2840,114786
1,Y058255,Y058255 [NUT FOR GUIDE BAR],2023-01-25,3,785,2022-12-21,2355,114792
1,Y078748,Y078748 [NUT],2022-04-28,2,45,2022-03-24,320,104581
2,Y078749,Y078749 [BUSHING],2022-04-28,2,115,2022-03-24,320,104581
1,N049364,N049364 [LADLE SHAFT],2018-08-17,2,1250,2018-07-27,2500,46956
1,L771624,L771624 [NUT FOR BOOSTER CYLINDER M72],2024-12-13,2,405,2024-11-05,7650,145293
2,LKL0020,LKL0020 [TIE BAR NUT EC180N EC200SX] [TIE BAR EC180SX EC200SX 2764MM OAL],2024-12-13,1,915,2024-11-05,7650,145293
3,LML0112,LKL0020 [TIE BAR NUT EC180N,2024-12-13,1,5215,2024-11-05,7650,145293
4,S576705,S576705 [NUT FOR CLAMP M72X2 105MM X 23MM],2024-12-13,2,355,2024-11-05,7650,145293
1,9X818901,9X818901 [BUSHING],2020-02-21,2,775,2019-12-03,1550,71136
1,Y037685,Y037685 [SLIDE BAR] ,2017-11-02,2,910,2017-10-16,1820,31512
1,236W0801,236W0801 [COUPLING DC3500CS],2025-06-13,1,3995,2025-05-01,3995,153368
1,Y026322,Y026322 [CYLINDER JOINT],2025-03-28,1,195,2025-02-12,195,149456
1,Y071004,Y071004 [FLANGE],2023-03-30,1,285,2023-03-01,285,117258
1,N079961,N079961 [JOINT BLOCK],2024-05-17,1,995,2024-04-12,995,135947
1,647W5603,647W5603 [SLIDE PLATE FOR DC350J],2021-01-18,8,275,2020-12-09,4407,86227
2,N002727,N002727 [SHAFT],2021-01-13,1,925,2020-12-09,4407,86227
3,9X976004,9X976004 [ROD JOINT],2021-01-13,1,385,2020-12-09,4407,86227
4,Y049547,Y049547 [CASE],2021-01-13,1,275,2020-12-09,4407,86227
5,Y015907,Y015907 [CASE GUIDE],2021-01-13,1,437,2020-12-09,4407,86227
6,Y052733,Y052733 [SPACER],2021-01-13,1,185,2020-12-09,4407,86227
1,N124500,N124500 [PLUNGER SLEEVE],2022-07-26,4,2985,2022-06-14,11940,107705
1,N050619,N050619 [COUPLING DC350JM- S/MH & DC500CLHT] ,2020-08-11,2,2225,2020-07-14,4450,80118
1,Y084104,Y084104 [BUSHING FOR SAFETY HOOK],2020-11-18,2,165,2020-11-11,330,85060
1,3F0222,3F0222 [WELDMENT BRACKET],2023-09-22,1,1870,2023-09-20,1870,126126
1,624T0003,624T0003 [SPACER],2024-04-05,2,205,2024-02-20,7170,133259
3,637R2701,637R2701 [PIN],2024-04-05,1,45,2024-02-20,7170,133259
4,647W6501,647W6501 [SLIDE PLATE (DC500CL-HT)],2024-04-05,4,375,2024-02-20,7170,133259
5,H39579G01,H39579G01[COUPLING ],2024-04-05,2,2375,2024-02-20,7170,133259
7,Y007086,Y007086 [ STOPPER STAND ],2024-04-05,1,150,2024-02-20,7170,133259
8,Y037186,Y037186 [JOINT],2024-04-05,1,195,2024-02-20,7170,133259
9,Y102652,Y102652 [ELECTRODE ROD],2024-04-05,2,60,2024-02-20,7170,133259
1,648T7301,648T7301 [SPRING GUIDE FOR DHS-T],2017-07-05,5,47.5,2017-06-21,237.5,25349
1,Y003999,Y003999 [SPROCKET],2017-07-05,5,125,2017-06-21,2900,25407
2,Y019691,Y019691 [BUSHING],2017-07-05,10,132.5,2017-06-21,2900,25407
3,N013391,N013391 [SHAFT FOR POUR ASS'Y],2017-07-05,2,475,2017-06-21,2900,25407
1,Y026322,Y026322 [CYLINDER JOINT],2023-07-13,1,155,2023-06-07,155,121675
1,648T7301,648T7301 [SPRING GUIDE FOR DHS-T],2023-12-22,4,60,2023-11-09,240,128645
1,6W261903,6W261903 [BUSHING],2020-03-09,1,1450,2020-02-03,1450,73655
1,N072875,N072875 [LADLE ARM(SPECIAL FOR AHRESTY)],2019-05-07,1,2675,2019-04-02,3335,59725
2,637R3501,637R3501 [SPROCKET],2019-05-07,6,110,2019-04-02,3335,59725
1,469R8911,469R8911[BUSHING],2021-09-30,2,2995,2021-08-19,47570,96626
2,469R8909,469R8909 [TIE BAR BUSHING DC2500CS2],2021-09-30,8,2560,2021-08-19,47570,96626
3,6T157701,6T157701 [BUSHING],2021-09-30,2,955,2021-08-19,47570,96626
4,6T252401,6T252401 [BUSHING],2021-09-30,2,1295,2021-08-19,47570,96626
5,N073196,N073196 [BUSHING FOR DIECLAMP DQC],2021-09-30,8,2075,2021-08-19,47570,96626
1,N048833,N048833 [DOG],2021-12-13,2,295,2021-11-08,590,99515
1,Y122756,Y122756 [EJECTOR ROD],2018-01-19,1,775,2017-12-20,1640,35199
2,Y122757,Y122757 [EJECTOR ROD],2018-01-19,1,865,2017-12-20,1640,35199
1,H39575G01,H39575G01[COUPLING],2021-05-13,1,3275,2021-03-18,3275,90531
1,L771624,L771624 [NUT FOR BOOSTER CYLINDER M72],2025-01-31,1,405,2024-12-19,4225,147255
2,M30,M30 [90593A017 HEX NUT],2025-01-31,4,16.25,2024-12-19,4225,147255
3,S576705,S576705 [NUT FOR CLAMP M72X2 105MM X 23MM],2025-01-31,1,355,2024-12-19,4225,147255
4,TKM0053,TKM0053 [LINK PIN 1 FOR ECN ECNII 220 240],2025-01-31,2,625,2024-12-19,4225,147255
5,TKM0054,TKM0054 [LINK PIN 2 EC240N],2025-01-31,2,475,2024-12-19,4225,147255
6,TMW0218,TMW0218 [BRACKET],2025-01-31,4,300,2024-12-19,4225,147255
1,H323582,H323582 [INJECTION BUSHING DC650JMS],2022-01-12,1,1235,2021-12-08,1235,100678
1,45X47,45X47 [ SHAFT SPACER ],2021-05-18,1,55,2021-05-04,55,92468
1,N060284,N060284 [STOPPER FOR SAFETY HOOK],2020-12-04,1,485,2020-11-25,2235,85666
2,N060281,N060281 [SAFETY HOOK],2021-01-01,1,1750,2020-11-25,2235,85666
1,609T1801,609T1801 [KEY],2018-08-03,6,135,2018-07-09,810,45873
1,9X976004,9X976004 [ROD JOINT],2021-07-29,2,385,2021-06-25,770,94596
1,L698749,L698749 [PACKING RETAINER FOR INJECTION IS I59 I81] L698749 [PACKING RETAINER FOR INJECTION IS I59 I81],2023-05-05,1,1575,2023-04-28,1575,120027
1,45X28,45x28 [SHAFT SPACER],2023-07-24,1,45,2023-06-16,1230,122156
2,6S331803,6S331803 [SPROCKET FOR DTO650~800L],2023-07-26,3,395,2023-06-16,1230,122156
